#,"Let's pretend for a moment that people will see and hear you give your speeches

How anxious do you feel about the thought of giving your first speech?",How well do you think you'll come across?,Please choose a topic for your speech:,How well do you think you came across? ,How anxious did you feel during your speech?,How much of the time did you focus your attention on yourself?,What was it like to give a speech while focusing on yourself? ,How anxious do you feel about giving the next speech?,How well do you think you'll come across?,"In the second speech, how well do you think you came across? ",How anxious did you feel?,How much of the time did you focus your attention on yourself?,What was it like to give this speech compared to the first one? ,I gave a better speech,I felt less anxious,I focused on myself less,None of the above,How would you summarize what you conclude from this experiment?,uid,component_id,Start Date (UTC),Submit Date (UTC),Network ID,Tags
9qmmmz1e43403vzfr8c34y9qmmmz9dv3,5,1,Less money should be spent on end-of-life healthcare,1,5,4,Not nice,5,1,4,2,3,Bit better,,I felt less anxious,I focused on myself less,,Focus less on self,5876428ceae9d5000140eb16,M2E3a,2023-04-10 15:37:17,2023-04-10 15:41:26,b27e798f79,
99wikxhca16o2u299wiw0pzzo6rrlk5q,4,1,People should have to take a test to become a parent,1,5,5,Really unnerving and diffiy,4,1,2,5,2,About the same really,,,I focused on myself less,,I need more practice at not focusing on myself,5fc63e053cf83c06341ac94a,M2E3a,2023-04-10 15:04:54,2023-04-10 15:10:37,33387c67dc,
y1k0m4bws0pmzzyspg8qaxevy1k0m4bw,5,2,Marriage is an outdated institution,2,5,5,Always being aware how terrible i was doing,5,1,1,5,4,About the same,,,I focused on myself less,,Focusing more on outside environment might be able to eeduce my anxieties,5b09360c2971540001e3e248,M2E3a,2023-04-10 14:43:58,2023-04-10 14:52:50,3aa82378d0,
p43umnrvp8bicp43usz8bo6pmstor777,5,1,Marriage is an outdated institution,2,3,5,I hate listening to myself speak. It's even worse when I'm really focusing on it and just listening to the sound of my own voice,2,2,3,3,2,I think I spoke more naturally when I wasn't focusing on myself and listening to my voice,I gave a better speech,I felt less anxious,I focused on myself less,,That by focusing my attention on something else rarher than myself I can cope better with .y anxiety and perform better in social situations and things such as public speaking,62da562ad9942a440f6986c9,M2E3a,2023-04-10 09:59:06,2023-04-10 10:19:32,872839c592,
daho6ho75ihm0b89uv1edahoi9mnb2ij,3,3,Marriage is an outdated institution,4,4,4,"It made me feel quite self conscious, and it was difficult to focus on the actual topic that I had to discuss",3,3,3,3,3,It felt easier because I could focus more on what I was saying.,I gave a better speech,,,,That I should focus more on what I’m saying rather than how I come across,5f09068244f84c18faaa74bc,M2E3a,2023-04-09 22:27:56,2023-04-09 22:31:18,6bf6dc2a21,
el3xz6mbinci97srpje9el3xz6mbstmx,4,2,People should have to take a test to become a parent,3,3,3,Self conscious and focused on all my mistakes and stumbles,3,3,4,3,2,Less intense and a little easier,I gave a better speech,,,,Think less about myself and more on the content and not get so worked up before talking,63d410b23af251fc009202cb,M2E3a,2023-04-09 05:57:19,2023-04-09 06:19:11,8b7c430801,
5ua7dlhu4cdv76l0js5ua7dlvq4mm9en,5,2,People should have to take a test to become a parent,3,3,4,I felt like I was focusing on what I was saying and how I was doing and it was nerve wracking at first but okay in the end,4,3,4,2,2,It was better as I feel like I spoke freely compared to the first time. I do feel like I waffled a bit though,,,I focused on myself less,,I feel like focusing less on myself and how I’m doing will be better for me,56fbbcd14aaa50000da05e80,M2E3a,2023-04-07 17:42:52,2023-04-07 17:50:45,f8ed435da3,
pgleffm667431gb9mpgluluqb5ilsiir,5,1,People should have to take a test to become a parent,1,3,3,Difficult,5,1,1,3,3,The same,,,,None of the above,Try to focus more on the other people than myself,5cf3ce21392ca30016117ebb,M2E3a,2023-04-07 15:51:09,2023-04-07 15:58:25,42505f3ff4,
7edozqlcmxcu85kgogu7edozsai3umjd,4,1,People should have to take a test to become a parent,2,2,4,"Strange, my mind kept wandering",3,2,2,3,2,Didn’t seem as difficult compare to the first one,,I felt less anxious,I focused on myself less,,Can see a difference and can see how it might help when used in the real world,59e675a6c0d35a00012951ce,M2E3a,2023-04-07 12:01:13,2023-04-07 12:10:25,6c0d7bc7af,
03u6u3s6h69sv1q03um8nnl03pl6qaj0,4,3,People should have to take a test to become a parent,4,2,4,"It was okay, made me pay a lot more attention to my presentation of the speech",3,3,3,3,3,"It was quite different, I focused more on what I was saying rather than how I looked saying it",,,I focused on myself less,,"In everyday conversations, it may help me to get out of my head and focus on the conservations and enjoy myself a bit more",5f1c62b6554a0f4f129c75fd,M2E3a,2023-04-07 09:16:42,2023-04-07 09:44:58,c931fba984,
ggv24dkv8ivbroz5wsggv24a1tiupq5x,4,1,People should have to take a test to become a parent,3,5,3,Made me feel flustered,4,2,4,3,4,Still nervous,,I felt less anxious,,,Will be good in future situations were I have to give presentations,5ba151aaa9e7be000135f08f,M2E3a,2023-04-04 11:51:44,2023-04-04 11:58:26,d5caf2239e,
ru0xalcybi5riwb4zkbknru0xalr8zzx,5,2,People should have to take a test to become a parent,3,4,4,Stressful,5,3,4,4,3,More flowing,,I felt less anxious,I focused on myself less,,Focusing less on myself is more effective,5bddfba7712eb800010d3a61,M2E3a,2023-04-03 09:24:07,2023-04-03 09:29:50,9289cbe1af,
wo1wjr8hoxrlvob0m8rawwo1wjr8jaw5,5,1,People should have to take a test to become a parent,3,4,4,Horrible,3,4,4,3,4,It was better,,I felt less anxious,,,Very useful,5edca29654fe059801608fc0,M2E3a,2023-03-28 08:14:24,2023-03-28 08:20:37,85a9530b4e,
wx7m6xgbruslcscf5zfwz8wx7m6xgatu,5,1,Marriage is an outdated institution,1,5,3,Scary,5,1,1,5,3,Same,,,I focused on myself less,,Try to focus on something else,5e3f63305ed1321be26ea5fe,M2E3a,2023-03-27 18:36:03,2023-03-27 18:39:26,d94d04e5fb,
