#,Do you already have a belief that you would like to challenge?,Do you have a belief in mind that you'd like to challenge?,Please state your belief,How much do you believe it is true?,What evidence do you have that it is true?,"Looking at your answer again, do you think what you shared is something you *believe to be true* or an *objective fact* you can prove",What objective evidence do you have that this is true?,Is there any objective evidence that this is *not* true?,Is there any objective evidence that this belief is *not* true?,Would you like to see an example before creating your own balanced belief?,Would you like to see an example before creating your own balanced belief?,What would be a more balanced belief?,What would be a more balanced belief?,"Just checking in with you, how did that feel?",Do you feel any different about this belief after considering the evidence for and against it?,This can sometimes happen. Could you share more about what makes it more believable now?,"Is there something you can do differently in the next couple of days, given that this belief feels less true to you now? ",uid,component_id,Start Date (UTC),Submit Date (UTC),Network ID,Tags
7dlptq4357uzsjzzridn7dlrtocgaeti,1,,"If I speak up for myself in public,  people will think I'm stupid and not take me seriously",5,People have laughed at me in the past and humiliated me,Fact,,People have helped me in the past before,,Yes,,Sometimes people might laugh at me when I defend myself and other times they may not,,It felt okay,I still believe it just as much,,,5f85f0cab3f4e20ebf578203,M1E2,2023-04-08 18:25:52,2023-04-08 18:36:37,cac76104eb,
ldaz1pf85xnyruity00ldaz1pf8cg7dt,0,Yes,If I walk to my car I will be judged.,3,"No evidence at all, just me being self-conscious.",Belief,No evidence.,,No one has ever stared or made any comment.,,Yes,,"Because I'm self conscious I feel like I'll be judged if I am seen walking to my car, but there has never been any evidence of that. People will probably waive and get on with their day.",True.,I believe it less,,When I walk to my car I will remind myself of this.,5c012e180a73f700012f3c58,M1E2,2023-04-08 18:27:59,2023-04-08 18:31:21,55165ddf1a,
14a3bwnr6o3cvmdp7ma1814a3bwt2wbi,0,Yes,"If I hang out with my friends on the sofa, they will think I'm awkward and don't fit in.",2,No evidence at all.,Belief,No objective evidence.,,They have never said so and don't act as if I bother them.,,No,,If I hang out with my friends on the sofa they will likely see it as a natural thing. They may not even think twice about it. I have no evidence to back this either but they have never acted like I was a nuisance.,Stressful to admit.,I believe it less,,Tell myself this the next time I feel anxious about sitting on the sofa.,5c012e180a73f700012f3c58,M1E2,2023-04-07 16:02:03,2023-04-07 16:09:03,55165ddf1a,
n3r5gjnuhn1zd4rn3rq5flgdotcedq8z,1,,Think I'm strange,4,Way they look at me,Fact,,None I can think of,,No,,Some might think funny,,Ok I guess,I still believe it just as much,,,63d140059a1a559c554e7e68,M1E2,2023-04-07 07:43:44,2023-04-07 07:45:32,25d980d830,
b5l9twezxqdy8sjb5l9ii520wzo8v1di,0,Yes,"If I tell a story, no one will be interested in what I’m saying",4,"People don’t listen, start their own conversations or don’t respond",Fact,,Sometimes people do listen and ask questions,,Yes,,I have a feeling that no one will be interested in what I have to say but I don’t know for sure,,Better,I believe it less,,Try and tell more stories in conversations and see what happens,5cbf968cac918a00159337e8,M1E2,2023-04-06 20:32:26,2023-04-06 20:38:36,cc0784111c,
9v13ybnyhwjbtvjh4gjwb9v13ybnbxvj,1,,"If I talk about emotions, others will think I'm lying",3,"In the past, talking to parents I have been told I cannot be depressed",Fact,,My friends listen to me without judgement,,Yes,,"Whilst some people may think I am looking for attention, those that matter the most to me are there for me and do not belittle me.",,Good to realise who is important,I still believe it just as much,,,628a119d0b74d2b456ce5201,M1E2,2023-04-06 16:21:47,2023-04-06 16:26:48,0638a4351f,
yj471vnplovjakrgyjv2twt991wfiy0d,0,Yes,If I walk into a room of people that I am not familiar with people will stare and not talk to me,4,It has happened before,Belief,It has happened in the past,,I make myself unapproachable because I am nervous,,Yes,,If I walk into a room of people they may stare and not talk to me but I have not tried talking to them either,Ok,I believe it less,,Make an effort to say hello the next time I walk into an uncomfortable situation,5d5e4ae367962a00151b58f6,M1E2,2023-04-05 22:26:47,2023-04-05 22:27:15,4b8f881434,
ojvwu2yrf8ee5j15n82c5aojvwu2ycbo,0,Yes,"If i don't look confident during my presentation, my colleagues will find me boring and unworthy of the position",4,I don't have many topics of conversation with my colleagues,Fact,,Only people who find the topic interesting might come to the presentation,,Yes,,What i talk about in my presentation is interesting to some of my colleagues and others no. They are there for a reason,,It feels better to challenge what i though to be true with some reality checks,I believe it less,,Prepare for a presentation still with some nervousness but less than before,5f76e2c2c75fa118deba7f46,M1E2,2023-04-04 16:42:16,2023-04-04 16:51:56,f1a9732e91,
wdl592winn8ivduus7jwdl59haqljk9j,0,Yes,I believe people will find me weird,5,None,Belief,None,,no,,No,,I think people may find me weird,Ok,I still believe it just as much,,,5d442839a8faa30001131e8a,M1E2,2023-04-04 09:56:48,2023-04-04 09:59:08,5fffb6d290,
c7rhr9xnk6jiqfrfc7rhgdnnuewz6r20,1,,If i join in i will look silly,5,Past experiences when i have looked silly,Belief,It has happened in the past but not every time,,Often i dont look silly and no more tha  other people,,Yes,,I could look silly but does that matter?,Better,I believe it less,,If the opportunity arises,60bceb1dcefc0afe67041489,M1E2,2023-04-04 06:24:56,2023-04-04 06:26:04,02513cc7cc,
iakvjz3kxrwtu3dp6oo5qiakv9kvq247,1,,"If I speak in a call, my colleagues will think I don't know what I'm talking about",4,"That there are often awkward silences in some of the calls that I am in, or that people can speak in a condescending way.",Belief,That I have been told in the past that I talk too much.,,"That some colleagues have expressed the opposite- that I am quiet and that when I do speak, it's engaging.",,Yes,,"That since people are able to follow my presentation style, while others struggle. That's normal.",Fair to myself,I still believe it just as much,,,5d514a73f20feb00160b5e0e,M1E2,2023-04-03 20:12:45,2023-04-03 20:18:53,bed5c23776,
b683hf09nnvlfrddezb683hf7dwklxpa,1,,"If I speak up at meetings, others who don’t say their teue feelings in front of managers won’t speak as they let me put my head above the parapet.",4,I find it hard to control my feelings when I start to speak properly,Fact,,No,,No,,Keep my mouth shut,,Great,I still believe it just as much,,,62c7e2035db496124cf69b56,M1E2,2023-04-03 18:00:14,2023-04-03 18:03:37,2529548be0,
vr9ag0gmkcbvd228z26vr9a0achbd37e,1,,"If I keep talking, other people will think I'm an idiot/annoying",5,There have been a few times I have been criticised for talking and as a child I was always told I talk too much,Fact,,Some people have said they enjoy talking to me. My husband knows I ramble a bit but loves me anyway,,Yes,,Some people might have a negative opinion of me based on what I say but not everyone does,,A bit better,I still believe it just as much,,,62b182ba39468032223841bb,M1E2,2023-04-03 16:39:31,2023-04-03 16:43:58,9c26dc67cc,
g3brjidgp79mg7gzg3bbg7mc06m9a7uu,1,,Hopefully understand,5,Somewhat,Fact,,Lack of evidence,,Yes,,"It’s about success, whether people can see I am on the right path",,The same,I still believe it just as much,,,62a3b97d41ae082b602e815b,M1E2,2023-04-03 15:56:41,2023-04-03 16:19:30,84454800d8,
wbtzqdvbux11q52xkwbtzqdasl6pi7fc,0,"No, I'll come back later",,,,,,,,,,,,,,,,5d442839a8faa30001131e8a,M1E2,2023-04-03 14:23:50,2023-04-03 14:24:11,5fffb6d290,
306kmgwovhsq235i3306tf8rq6hfcal2,1,,If I speak others will not listen,4,Have to repeat what I say many times,Fact,,No,,Yes,,If I speak others might not listen,,Not too bad,I still believe it just as much,,,6346aa206a094aebaddadf02,M1E2,2023-04-03 10:19:07,2023-04-03 10:24:30,0bac4b6638,
9z9sj0r7pfovn5h9z9sjpxrfqdu5d2u8,1,,If I act like myself in social situations people will think im a dork and an idiot,5,Peoples reactions,Belief,None,,I have friends and get on well with people at work,,Yes,,I feel like people think I’m a dork but I haven’t had any evidence to suggest that,Like it’s not true,I still believe it just as much,,,5f0d962b96a8fa000871c68c,M1E2,2023-04-03 08:47:16,2023-04-03 08:51:23,6839e6591d,
cxlp7mkq13cxlswuq6n3stnsa9a0uuvb,0,Yes,If I got a job I would fail at it.,3,"Previous failures, at work in japan and also in Dublin, at uni.",Fact,,I did well at some jobs.,,Yes,,"If I got a job, I might fail. But if I did, it wouldn’t be the end of the world. There are always other jobs.",,Better. It felt plausible.,I believe it less,,Apply for more jobs,5f0874db34894f07bd04f436,M1E2,2023-04-02 22:56:33,2023-04-02 23:01:31,38d3134a8d,
ov6kjuw73cc4scfjov664qtmh1580vzf,1,,"If I speak face to face with someone, they'll be anxious",4,Seeing the expression in their face,Fact,,Some people aren't anxious,,Yes,,"Initially they'll be anxious,but if I'm polite they'll relax",,Ok,I believe it less,,Try this out on some people,56c393c495cf7f000b956b25,M1E2,2023-04-02 22:02:27,2023-04-02 22:06:18,e331f7b42b,
3ssioh1ikj2tscpbnlzf3ssioh9t8437,0,Yes,"If I make a grammar mistake while I speak in English, people will think I’m stupid",4,"Not much, sometimes they make a face or will make a comment",Not applicable - I did not have evidence,,Most of the time people don’t care,,Yes,,"Sometimes I get nervous because English is not my first language and fear that people will think I’m stupid if I make a mistake. More realistically, even native speakers make mistakes and people care a lot less then I think they are.",,Better,I believe it less,,Be less quiet when meeting new people,641379405684937e6fad9f1b,M1E2,2023-04-02 21:09:25,2023-04-02 21:15:13,3f1a86868d,
95nwrx27mgx092mihg09w2z95nwrxvsv,1,,If I speak others will think I’m boring,3,None,Not applicable - I did not have evidence,,No,,Yes,,Some people may not be interested in what I Have to say but others will,,Ok,I believe it less,,Speak more often,622e73ee8e552144c702f353,M1E2,2023-04-02 17:01:27,2023-04-02 17:04:38,7afe276679,
esbb48mw2i5c6q1gevdesbb4886dvwbl,0,Yes,"if I meet new people, they will ask me about my career, and then will think I'm useless",5,"I had people tell me I'm lucky to be able to stay at home, which sounded condescending",Fact,,"no, people usually feel awkward and stop asking questions",,Yes,,some people may actually think I'm lucky being able too stay at home,,grateful for what I have,I still believe it just as much,,,5c4765349afd7b000196f770,M1E2,2023-04-02 13:19:28,2023-04-02 13:26:34,5e9fc70162,
9mazf50q4bd262zufluj09mazf5sl4ak,1,,That I make people uncomfortable all the time.,3,"I’ve often been told in the past by people that I have done it, though not recently.",Fact,,I haven’t been told that I do that recently by anyone,,Yes,,"I sense that I may make people uncomfortable, but not necessarily all the time.",,It was fine,I still believe it just as much,,,5f09068244f84c18faaa74bc,M1E2,2023-04-02 09:43:12,2023-04-02 09:46:47,fe63513757,
17ypg9ivt1vhkb17a8l0382z90rojeyd,0,Yes,If I go into a new baby group others will stare at me.,5,"Because it’s a small town, everyone knows when there’s someone new.",Fact,,No one cares,,Yes,,I think people will stare at me but I don’t have anyone cares enough for it to mean anything.,,It makes sense I guess.,I believe it less,,Realise that strangers don’t care about me that much.,612faedae9ff56b775e3cee5,M1E2,2023-04-01 20:50:54,2023-04-01 20:55:52,602299aaf5,
azc7zz220s1u95y754azc7zm0ww3qemn,0,"No, I'll come back later",,,,,,,,,,,,,,,,578163a5c6144900014a0d21,M1E2,2023-03-31 21:33:24,2023-03-31 21:34:32,9c7dbcee29,
qpw5le3ev6irvbqpw5laxwdf10g1agf6,1,,If I try to join in others will laugh at me,4,It’s the way people behave when I’m around,Belief,None my personal thoughts,,No,,Yes,,If I join in I believe others will find me boring and not form a good opinion about me,It felt more honest,I believe it less,,I can stop worrying and tensing myself up,5f2afec0781f2848ac688140,M1E2,2023-03-31 20:03:05,2023-03-31 20:07:09,e431867f6f,
ni52pxgkz4jc2hory5ni52pgjuyfz68d,0,Yes,If I talk in public others will think I am incompetent,4,I have been told that I have been talking too fast and people struggle to understand me,Fact,,People have been telling me that I have been helpful with my skills and knowledge,,Yes,,When I talk in public people might be struggling to understand me but I can always repeat myself,,Not sure,I believe it less,,To think more positively and rationalize more,5b09360c2971540001e3e248,M1E2,2023-03-31 19:35:46,2023-03-31 19:41:52,3aa82378d0,
lr2j5wj50jw8nir77g9lr2j5wg1kul8t,0,Yes,People looking at me,4,People looking at me,Not applicable - I did not have evidence,,I don’t know,,Yes,,People may look but they look elsewhere too,,Better,I believe it less,,I’m not sure,582086da97b5100001b9b830,M1E2,2023-03-31 18:29:29,2023-03-31 18:32:40,18260623d5,
mf7kvzn01u6s549r5mf7khc0zcrwcyzs,0,Yes,If I talk too much people will feel overwhelmed,5,People get tired around me,Fact,,Sometimes people stay for a long time when I’m talking,,Yes,,Maybe I feel overwhelmed when I’m talking so I think they are too,,Ok,I still believe it just as much,,,5b96b497169b86000125198e,M1E2,2023-03-31 15:47:19,2023-03-31 15:50:04,a394223897,
p378zafg30i0bkwc8p370wvqkqsl9g8h,1,,If I don't agree with what they are saying they won't like me,3,Their attitude towards me changes,Belief,None,,Only my own opinion,,Yes,,We don't always share the same opinion on things,Better,I believe it less,,"State my true feelings, as long as they don't  hurt anyone's feelings without worrying about what they think of me",5cf3ce21392ca30016117ebb,M1E2,2023-03-31 14:09:34,2023-03-31 14:18:55,c8baa6bb44,
6289wmy93coaocy6289wwxa7tp9ecirl,1,,"If I make an effort to get promotion at work, people will doubt my ability to do the iob.",4,I believe that people have the idea that I am not worthy of success at work.,Belief,I don't have any.,,No.,,Yes,,"I could go for promotion, and people could doubt my ability to do the job, but they don't know that, and neither do I until I try.",Quietly refreshing.,I believe it less,,I can back myself more.,5d1b9f1b4cebc80017c1d9ca,M1E2,2023-03-31 13:24:19,2023-03-31 13:28:24,23a21210eb,
l7dg6ssfnk72rxhy6hbgl7dg6ssn8irm,0,Yes,If I sit in the front I’ll take up too much space,5,It’s just true,Belief,I’m bigger than most,,No,,No,,I don’t know,Annoying,I still believe it just as much,,,5c462f70f5bbb70001b2f902,M1E2,2023-03-31 13:07:20,2023-03-31 13:09:26,d26a4e4740,
dg8sd9zqzfcq2inpduidg8sd9z7q5wm1,1,,If I go out in public I will feel anxious,4,I get an anxious feeling and nervous stomach,Fact,,It doesn’t always happen,,Yes,,I can go out without being affected by nerves. It may happen but I’ll deal with it if it does,,Bit empowering,I believe it less,,Test it out,63718368eb248cc9835e70ff,M1E2,2023-03-31 12:59:53,2023-03-31 13:04:50,4d69ceec18,
9za6ejo5wkmw2ej9za6e8zx1d7oglhfg,1,,If I eat to much others will see how greedy and fat and ugly i am,4,People have comment on my eating before,Belief,People comment because I complain about it and think there helping,,It’s my own thoughts that convince me,,Yes,,People are not judging me in a bad way just from love.,I’m feel ok. I feel I am hard on myself,I believe it less,,Enjoy the moment,5cf03df5f8188000013126aa,M1E2,2023-03-31 12:30:53,2023-03-31 12:49:58,bc39032b51,
wsby59rml7ydgy9j5t2uwsby59rtneb1,1,,To feel more self worth,3,I dont have much self worth and want to increase it,Not applicable - I did not have evidence,,I have low confidence so don’t have much self worth,,Yes,,To show more confidence even if I don’t feel it,,Ok,I still believe it just as much,,,63dff8bf03e29837eef8a379,M1E2,2023-03-31 11:48:12,2023-03-31 11:51:14,404383174c,
bd07ijthtbxzetz1jr7wybxzetz1vxj5,1,,If I try to take part in a conversation I won’t be able to talk sensibly,4,I struggle to hold a conversation,Fact,,I can talk about something I know a lot about and am interested in,,Yes,,I should try to find common subjects I can talk about,,Interesting but not convinced it solves anything,I still believe it just as much,,,5d2b08784588590018cf70bb,M1E2,2023-03-31 11:25:41,2023-03-31 11:29:42,19879670db,
h53h9bljroh0e9hsn62h53h9b59g2nbq,0,Yes,People won’t think I’m capable,4,Not trusted with things,Not applicable - I did not have evidence,,I have achieved,,No,,It’s ok not to be capable,,Comforting,I believe it less,,Try more,62b1eaacbc6e41266c8c35f1,M1E2,2023-03-31 10:47:05,2023-03-31 10:54:45,14fccceafd,
9oqde6xf0445l9oqdetw8smyn1glm8qo,1,,If I talk publicly I might make a fool of myself,5,I get tongue tied and can't speak fluently,Belief,It has happened to me and I worry it will keep happening,,I'm not sure,,Yes,,I might be making myself nervous by worrying and this makes my anxiety worse.,Hard because I don't know how to stop worrying,I still believe it just as much,,,5fc63e053cf83c06341ac94a,M1E2,2023-03-31 09:52:30,2023-03-31 09:56:51,33387c67dc,
rrskl56ehurpc3gsbqgzrrsklb9p4uzg,1,,If I stutter when speaking others will laugh at me,5,"It has happened in the past, in a meeting I was speaking and stumbled on my words and everyone laughed",Fact,,I’ve done it other times and no one has laughed,,Yes,,People may laugh but not every time,,Made me feel a bit better about speaking in public,I believe it less,,Try to speak more at the next meeting,59e675a6c0d35a00012951ce,M1E2,2023-03-31 09:45:09,2023-03-31 09:50:05,6c0d7bc7af,
och8qfd2hm57p3qaooch8q0sjs2lbcl6,0,Yes,If I do Go red others will stare,4,Happened before,Fact,,No,,Yes,,They might have not noticed,,Ok,I still believe it just as much,,,59839cb9554956000142d95f,M1E2,2023-03-31 09:01:51,2023-03-31 09:05:06,1b454e35ff,
j7zu40ef6gzepfqeasirsj7zundo1tcl,1,,Follow,5,Seems to happen alot,Belief,Not a lot,,Yes,,No,,People sometime follow everything,Good,I believe it less,,Be myself,5d5317c8f780730018f2c748,M1E2,2023-03-31 06:52:52,2023-03-31 06:56:03,e4ef1e297b,
lpwgroq1dax9hj6kxnskt8fpxlpwgroq,1,,"If I letmy class talk over me, they might assume they can get away with it and disrupt the class a lot",2,"If you let a class talk, They tend to get louder",Belief,It has happened before,,It doesn't always happen,,No,,"If I let the class talk, They can disrupt it, but Ithey don't always do it and I can get control back",Stressful but good,I believe it less,,"No - I don't teach again for a few weeks, but I can remember it",623478b74666adc4ae9be6ab,M1E2,2023-03-30 15:41:49,2023-03-30 15:45:17,8ad92fa734,
6sxd6ctz52kaek1b0fh6sxd6ch6e21po,1,,Speak in a social group others will think I am boring,5,No actual evidence as such I just feel that people keen to get away from me.,Not applicable - I did not have evidence,,People specifically ask for travel advice and tips for their own trips.,,Yes,,I worry that people will find talking to me boring but some people seek out my opinion,,I don’t know. I sort of know it is true but I just want to add but..,I still believe it just as much,,,5f19675f002f9a01e273dc57,M1E2,2023-03-30 15:25:24,2023-03-30 15:30:39,5e3518e62a,
73k1b03pbv2uv7d3oi73kkqxqels68vg,1,,"If I say something wrong, others will reject me",5,People have looked at me funny and not continued conversations in the past,Belief,I don't have any evidence,,I have friends who have not rejected me even though I sometimes say stupid things to them,,Yes,,Some people might think I'm weird but others must like me because they are my friends,Good,I believe it less,,Be less afraid to speak to people,5c93de86cf602b000170c25d,M1E2,2023-03-30 15:19:09,2023-03-30 15:23:22,c8593d6037,
0m4rx1xu4c7o1yraaea0m4rxbyodl31n,1,,Strike up a conversation others will not find me interesting enough,4,Lack of close relationships,Fact,,"People don't make contact, will cancel plans, will turn and talk to someone else",,Yes,,They may be busy,,Really hard,I still believe it just as much,,,60b0f00d76201e617923f93f,M1E2,2023-03-30 14:39:52,2023-03-30 14:47:48,17d4e109da,
h1312wnne2dnk9wtih1310xwqx6x23ok,0,Yes,If I talk to someone in the hallway they'll think I'm stupid,4,I've been awkward to people before,Belief,I don't know,,Sometimes I'll be helpful,,Yes,,If I talk to someone in the hallway I'll sometimes be helpful,"Unsure, but a bit better",I believe it less,,Don't think so,636928ef51cdaf360bebba1e,M1E2,2023-03-30 13:21:42,2023-03-30 13:30:48,0231d1594f,
a556tjebd3vcajmu6ew9oa5569s8d9ib,1,,If I am the centre of attention people will laugh at me,4,It has happened in my past,Fact,,There have been occasions when they have not laughed at me.,,Yes,,There have been times when I have made a mistake but it does not matter,,Relieving,I still believe it just as much,,,5ce9b0e4be5a6b00163f6870,M1E2,2023-03-30 13:14:55,2023-03-30 13:17:33,755c33c720,
k4pw77ft8jxqy35k4d1mbgidpkunlrt5,1,,If I do talk about me people won't be interested,4,I dont,Not applicable - I did not have evidence,,My family listen to me,,Yes,,People might not be interested in what I say but I haven't checked so can't be sure,,Scary,I believe it less,,Try talking to someone in my family to see what they think,5a0a0b3afe645f0001e9f296,M1E2,2023-03-30 12:43:38,2023-03-30 12:47:47,393151778e,
1v8p9ik3favstxhf1v8p9raj946q3xxd,0,Yes,If I say something wrong or silly people will think I'm stupid,4,Sometimes you can see it in other people's faces when someone get's something wrong,Belief,I don't,,People might think that it is good to try anyway,,Yes,,Some people might think it was a silly answer but I dont think they would think I was stupid or remember it like I would do,Good,I believe it less,,Try not to be afraid of answering questions at uni,606dc9d8b666d8ce1dc6167b,M1E2,2023-03-30 11:31:43,2023-03-30 11:36:34,7d91f934da,
jyyytixvqdgss59j7nm8jyyyova1ozps,0,Yes,"If I ask someone for help, they will think I am useless.",4,I don't have any evidence.,Not applicable - I did not have evidence,,"I have asked for help before and people have been happy to help. They haven't sighed, rolled their eyes or called me anything.",,Yes,,"If I ask for help, it is likely that the person I am asking will be happy to help me.",,Difficult,I still believe it just as much,,,59f392ef9618dc0001d33a58,M1E2,2023-03-30 10:13:44,2023-03-30 10:22:10,70a41d336e,
106zdbwqeqof7dznz7ig106zdb7ws7sl,1,,If my face goes bright red everyone is going to think I'm strange,5,I can see people staring at me when this happens,Belief,Comments to me about the appearance of my face,,People usually just ask if I'm hot,,Yes,,If my face goes bright red people will probably just think that I'm hot and it's just my natural reaction,"It felt ok, makes you think about things a bit more clearly",I believe it less,,Just try not to think and worry about the appearance of my face when I'm in a stressful situation because people probably don't even notice it as much as I do,62da562ad9942a440f6986c9,M1E2,2023-03-30 06:12:14,2023-03-30 06:20:31,872839c592,
z0fqsonfgt0xra3lz0fqq5n1tav3hxa6,1,,"If I make a phone call, others will be annoyed with me",2,"I would be calling with a complaint, or asking about work",Belief,,,It's their job to take my call,,Yes,,"People may be annoyed if I phone them, but they probably aren't.",Kinda pointless,I still believe it just as much,,,58209f4785e40e00012f2a7d,M1E2,2023-03-29 22:36:17,2023-03-29 22:40:58,61142de6df,
573o53fato1lzeky4i5573o51ilif330,1,,If I stand up and speak in meetings others will laugh and not listen,3,It’s happened before so reoccurring problem,Belief,None yet,,I have experienced this before and my words were clear and nobody laughed,,Yes,,Maybe people won’t listen to me if I speak in meetings but they normally do,Better,I believe it less,,I can prepare well for a meeting and be extra confident in my knowledge. Then I should be able to talk better and there should be no reason for ridicule,63d410b23af251fc009202cb,M1E2,2023-03-29 21:21:02,2023-03-29 21:26:16,8b7c430801,
dd1iaq4iyookgisaodd1ib1khmf488dc,0,Yes,"If I hang out in the living room, my housemates wil think I am awkward.",4,My own feelings about this.,Belief,Sometimes I don't talk.,,They are kind to me and do talk when they feel like it. They smile.,,Yes,,"Sometimes I feel uncomfortable hanging out in the living room because I worry that they will find me awkward, but they have never told me so. It's possible it is mostly in my head.",Hard to admit (and i don't fully believe it's never awkward) but it was good to write it down.,I believe it less,,I can try to spend more time in the common areas and practise telling myself I am safe and loved.,5c012e180a73f700012f3c58,M1E2,2023-03-29 20:57:48,2023-03-29 21:07:52,55165ddf1a,
yktakd7n5g81frvbpzyktakdxb1kaocy,1,,"If I speak in public, people will think I am stupid.",5,I don't have any,Not applicable - I did not have evidence,,It is possible people are not focussed on me,,Yes,,I think there's a chance people are thinking I'm stupid but they may be thinking of something else,,A little better,I still believe it just as much,,,5d990479ab3e03001624c314,M1E2,2023-03-29 20:35:23,2023-03-29 20:38:03,c17d5114b2,
n9ababcblq30sizdudn9ababcl3f0kh0,1,,Public speaking,5,You can see people's reactions,Belief,None,,How I feel when I see someone else speaking,,Yes,,I worry that people are judging me when they could be thinking of something else,Better,I still believe it just as much,,,5d990479ab3e03001624c314,M1E2,2023-03-29 19:57:07,2023-03-29 20:00:19,c17d5114b2,
a8hps20e5o2jczsh9lba8hp6ylh3b6sj,0,"No, I'll come back later",,,,,,,,,,,,,,,,5d8cef3c28e183001a335ab0,M1E2,2023-03-29 19:02:22,2023-03-29 19:02:33,a11a994b5d,
z3nmo6u0ffm18o0hm523t8z3nmo6u0f5,0,"No, I'll come back later",,,,,,,,,,,,,,,,5c322f84508b7a0001fcb70d,M1E2,2023-03-29 18:20:55,2023-03-29 18:21:08,3791d0c405,
