#,#1 Famous people don't experience social anxiety,#2 Only introverts experience social anxiety,#3 Social anxiety is common,#4 Social anxiety is something you cannot change - you either have it or you don't,uid,component_id,Start Date (UTC),Submit Date (UTC),Network ID,Tags
74n3woagefu0vd74n3wobi3tqxra485e,False,False,True,False,5bddfba7712eb800010d3a61,M0E3,2023-03-29 16:27:02,2023-03-29 16:28:27,afa8a4ea2f,
y7bq0ntm234s6bi10e1zy7bq0ejovli0,False,False,True,False,5f0d962b96a8fa000871c68c,M0E3,2023-03-29 15:52:56,2023-03-29 15:53:36,6839e6591d,
14wwfgbbrp4uavt770e214ww1fx4qq60,False,False,True,False,5bb7a2f927fb5000013cb0e6,M0E3,2023-03-29 15:18:34,2023-03-29 15:20:05,c8f9f12e9b,
t3bmpk8o7pt4u1n30ez2dt3bmpk8x0xr,False,False,True,False,606dc9d8b666d8ce1dc6167b,M0E3,2023-03-29 14:22:50,2023-03-29 14:23:40,7d91f934da,
lkc8phg764588ubdmbhctlkc8phg3fnf,False,False,False,False,62c7e2035db496124cf69b56,M0E3,2023-03-29 13:36:54,2023-03-29 13:37:33,2529548be0,
h69y8mkjcle7h698nay22kemlvcr279k,False,False,True,False,636928ef51cdaf360bebba1e,M0E3,2023-03-29 13:06:29,2023-03-29 13:07:48,0231d1594f,
176cxontu2cbiiq7ft8176cxonhpkvlx,False,False,True,True,5ec5b2f06ec5296104b51897,M0E3,2023-03-29 12:58:03,2023-03-29 12:59:38,6508743b04,
va5rse6p8p7cynbhus4x0va5rse63bz3,False,False,True,False,5d990479ab3e03001624c314,M0E3,2023-03-29 12:08:41,2023-03-29 12:09:25,c17d5114b2,
glgv5max046p0hglgvn9i9hlynszhjm7,False,False,True,False,612faedae9ff56b775e3cee5,M0E3,2023-03-29 10:41:44,2023-03-29 10:42:25,1bff100b0c,
d2cz35jdc241hqy4mhlya9d2cz35jw7z,False,False,True,False,6103ecec19120bbb47800858,M0E3,2023-03-29 10:02:50,2023-03-29 10:03:20,e64d6d973b,
yt5gn65v12aw0f72fyt5gn6jfdf966wl,False,False,True,True,612a87998958706392797405,M0E3,2023-03-29 09:21:34,2023-03-29 09:22:16,5ccaff2184,
2o8clzyp1j61n2o8cmizv7dg4jkdwr88,False,False,True,False,613f1d6420141eefc3e5f1b0,M0E3,2023-03-28 23:00:32,2023-03-28 23:02:44,e41092934c,
gtl5fe22wzzf60dezbegtl5fa226qshf,False,False,True,False,58209f4785e40e00012f2a7d,M0E3,2023-03-28 21:59:56,2023-03-28 22:00:45,06a77202eb,
1qjbcka4562vvfvasjr31qjbu1psipuh,False,False,True,False,63d140059a1a559c554e7e68,M0E3,2023-03-28 20:42:41,2023-03-28 20:43:04,25d980d830,
hfqny9im89brjdhfqnyjwsp760kd5927,False,False,True,False,5c93de86cf602b000170c25d,M0E3,2023-03-28 20:31:41,2023-03-28 20:32:35,b8fc4e321a,
vdw6ygylob5x7gbvvdpf10dsgxjwntyb,False,False,True,False,5cb8d06a75c0e10001540418,M0E3,2023-03-28 20:23:01,2023-03-28 20:23:38,c9f06d7468,
zsvweoasajkfygc0rezzsvweo62747io,False,False,True,False,60768467a4f8fb1d215ff60c,M0E3,2023-03-28 20:02:39,2023-03-28 20:03:11,6e3e4db266,
cid70zhx2wvhutzycpucid703spebiqh,False,False,True,False,63d13d214a2a7a3987f88f5b,M0E3,2023-03-28 19:04:59,2023-03-28 19:05:27,a547f6d472,
p97cri640ja0wjryusp97cri37x9knv2,False,False,True,False,5d8cef3c28e183001a335ab0,M0E3,2023-03-28 18:13:37,2023-03-28 18:13:53,9c8d7f1223,
pmgq5oaqns6kdt8opmgqal92nthwmi1b,False,False,True,False,5f99104474aa880009b64318,M0E3,2023-03-28 17:15:31,2023-03-28 17:16:21,90a3d57a8c,
u8m80lsjjfr5cc9uu8m80l3o8mfwevjq,False,False,True,False,623478b74666adc4ae9be6ab,M0E3,2023-03-28 16:55:45,2023-03-28 16:56:04,8ad92fa734,
eb3f53rz0mbs1wseb3f5wj92iirjzzx1,False,False,True,False,5c322f84508b7a0001fcb70d,M0E3,2023-03-28 16:38:11,2023-03-28 16:38:30,3791d0c405,
9u9tvim2nd9f0y9u9te06eorlczn5stk,False,False,True,False,5f1c62b6554a0f4f129c75fd,M0E3,2023-03-28 15:40:29,2023-03-28 15:41:03,831f29bbb7,
sdf78lx65sfv1xnl7u83sdf78lxlo1y9,False,False,True,False,60de4cc94dfda4d9e1948e6d,M0E3,2023-03-28 15:08:25,2023-03-28 15:09:11,aa7146c04d,
hxn3ucf52eofgohxn3kntqze1lgnxcqd,False,True,True,True,5876428ceae9d5000140eb16,M0E3,2023-03-28 15:01:01,2023-03-28 15:02:13,b27e798f79,
1ty8flqxni2oj7yyi551ty8flqxbn5kb,False,False,True,False,5b89ad4819110c0001eb707c,M0E3,2023-03-28 14:42:24,2023-03-28 14:42:42,24abbca40c,
4ik4wo59wnqt5t44ik49u8qmc5c1939i,False,False,True,False,5eb9697b651aca0436adfe9d,M0E3,2023-03-28 14:09:58,2023-03-28 14:10:25,ce5b38231c,
ojbn4dypeoeb4wktojbn4d2pywwm7xcz,False,False,True,False,60b0f00d76201e617923f93f,M0E3,2023-03-28 14:04:10,2023-03-28 14:05:05,17d4e109da,
3q1m9ahlon6idr4tced3q1m9e8fb5m2b,False,False,True,False,5cf03df5f8188000013126aa,M0E3,2023-03-28 13:48:14,2023-03-28 13:49:42,bc39032b51,
chbcj7i282pau81jfchbtp89tgav4g0n,False,False,True,False,6400d919945d23676a68b781,M0E3,2023-03-28 13:35:57,2023-03-28 13:36:18,cce853aa75,
6qaof16g9vw2tpqhitri61t6qaof1bx1,False,False,True,False,641379405684937e6fad9f1b,M0E3,2023-03-28 13:14:43,2023-03-28 13:15:37,3f1a86868d,
kfs1uiyjoj2dhs54ujef9kfs1uid4ic6,False,False,True,False,59e675a6c0d35a00012951ce,M0E3,2023-03-28 13:07:12,2023-03-28 13:07:39,6c0d7bc7af,
nwoxbdw2pj35me7zrrqnwoxbd6rj50ae,False,False,True,False,5ede01a612a7d6000bf2316f,M0E3,2023-03-28 12:38:09,2023-03-28 12:38:59,fa92bd3c1e,
et6jej2wakjums6g1cwkom2et6jej3rx,False,False,True,False,5d82034b49f7b600197e5315,M0E3,2023-03-28 12:26:15,2023-03-28 12:26:36,fdafdc445b,
pwr7mnvzhl1xzvqpwrlzb4frw355ya40,False,False,True,False,59839cb9554956000142d95f,M0E3,2023-03-28 09:26:42,2023-03-28 09:27:54,1b454e35ff,
7ps1sadvb9t53s7ps1svoje31i2kezu6,False,False,True,False,62b1eaacbc6e41266c8c35f1,M0E3,2023-03-28 07:27:48,2023-03-28 07:28:17,f53ff0dfc2,
csv23enm07ys7s2o95aocsv23ezisa5p,False,False,True,False,5c462f70f5bbb70001b2f902,M0E3,2023-03-28 06:52:39,2023-03-28 06:53:33,d26a4e4740,
jv798yz46643mv4jv79ctbgj0602yx72,False,False,True,False,5ce9b0e4be5a6b00163f6870,M0E3,2023-03-27 22:06:00,2023-03-27 22:08:14,971818f6d8,
4q2sb4fabu53f8ongs04q2s980pznnxv,False,False,True,False,63718368eb248cc9835e70ff,M0E3,2023-03-27 21:57:21,2023-03-27 21:58:14,494d994059,
1hrveo8b5s1f0toe1hrvhgn8evqlod7k,False,False,True,False,5aafb6f2e1546900019b0772,M0E3,2023-03-27 20:52:07,2023-03-27 20:53:22,2499026ba4,
umc8xuicbsckdw29m7qumc8oys60ss1a,False,False,True,True,5edca29654fe059801608fc0,M0E3,2023-03-27 20:44:02,2023-03-27 20:44:30,85a9530b4e,
3yvrhbf2awk4o69foq3yvrhb6zjy51vh,False,False,True,False,613791ef07e699be4ebd53f8,M0E3,2023-03-27 20:10:13,2023-03-27 20:11:17,1e5387e628,
d7shvjxc7waxxgkd7shvyq8m3u9ybxyj,False,False,True,False,56b0e4d16399f9000ad8d48f,M0E3,2023-03-27 19:24:31,2023-03-27 19:25:31,0dd95a2bd5,
jyotg9o6ieu9mm34ohujyotg96xb18bi,False,False,True,False,63d410b23af251fc009202cb,M0E3,2023-03-27 16:58:09,2023-03-27 16:59:49,8b7c430801,
fcw1eoz6dhv5c0mzp2pfcw1eo0ujzg4h,False,False,False,False,62da562ad9942a440f6986c9,M0E3,2023-03-27 16:16:48,2023-03-27 16:17:51,872839c592,
z14vt74jba6t8aiigktaz14vtqb6lus0,False,False,True,False,570ffae3736f6a00125577c5,M0E3,2023-03-27 14:33:57,2023-03-27 14:34:21,5cd2d29f69,
a5dn0ud9sidi72gdoua5279acr6gkm3i,False,False,True,False,59f392ef9618dc0001d33a58,M0E3,2023-03-27 14:21:51,2023-03-27 14:22:32,70a41d336e,
49x3mt48q5nu9f4kee849x3pso4i3lxs,False,False,True,False,5e3f63305ed1321be26ea5fe,M0E3,2023-03-27 13:57:06,2023-03-27 13:57:30,d94d04e5fb,
ig1ve6sfdzgqkfzsjig1vp2s7ocovxl4,False,False,True,False,5f19675f002f9a01e273dc57,M0E3,2023-03-27 10:04:08,2023-03-27 10:04:48,5e3518e62a,
htt5y41ogxo0onsrgq1ushtt5y41qfwh,False,False,True,False,56fbbcd14aaa50000da05e80,M0E3,2023-03-27 08:44:34,2023-03-27 08:45:35,d175264170,
zse4lahk4ti5mmpo3xpzse4lamzd20x2,False,False,True,False,5adec594e0feeb0001cacf00,M0E3,2023-03-25 16:37:59,2023-03-25 16:38:31,24e935de54,
xrud8vtlqdocgc2yuvxrud8vy3o9hy7c,False,False,True,False,6160c8f657e3c4094b01614a,M0E3,2023-03-24 14:07:51,2023-03-24 14:08:12,0533347941,
