#,Did you have an experience of controlling and deliberately shifting your attention during this exercise?,How easy or hard did you find it to shift your attention according to the instructions?,I couldn't concentrate,I found the exercise irritating,I had upsetting thoughts or images,I did not find it challenging,I found it boring,Other,Did you have an experience of controlling and deliberately shifting your attention during this exercise?,How easy or hard did you find it to shift your attention according to the instructions?,I couldn't concentrate,I found the exercise irritating,I had upsetting thoughts or images,I did not find it challenging,I found it boring,Other,"Great job completing this attention training

Which part did you enjoy more?",uid,Start Date (UTC),Submit Date (UTC),Network ID,Tags
02gwc14ijlh2wptiqfi3y02gwc1wwz3d,1,Kind of hard,,,I had upsetting thoughts or images,,,,1,Neither hard nor easy,,,,,,It was ok. A little challenging.,Hearing,5c17c149f596b100011ca8b8,2022-11-13 22:30:38,2022-11-13 22:56:40,3868a061da,
uvc43w165qajvp15uvc43q1j1pq7p4sc,1,Kind of hard,I couldn't concentrate,,,,,,1,Kind of hard,I couldn't concentrate,,,,,,Seeing,5f28431d82be890d2f58a32d,2022-11-13 22:17:02,2022-11-13 22:31:22,bcd4d185e1,
x05ut0b1jiocgpx05u9qxg4twf2lt8br,0,Kind of hard,,,,I did not find it challenging,,,1,Kind of easy,,,,I did not find it challenging,,,Hearing,57fbd79de7e73400019ca256,2022-11-13 21:00:07,2022-11-13 21:16:19,f378eaf39f,
zwz1v9030z69pqhokzwz1vk30nt7u6h6,0,Kind of easy,I couldn't concentrate,,,,,,1,Kind of easy,,,I had upsetting thoughts or images,,,,Seeing,5d651053afb8f700198459d4,2022-11-13 20:44:33,2022-11-13 20:56:41,2e1592dc5a,
jgmhlgri79xv4ejn12xryjgmhlgn3qql,1,Kind of easy,,,,,I found it boring,,1,Kind of hard,,,,I did not find it challenging,,,Seeing,5e41630f6391e10286e2bddf,2022-11-13 19:37:47,2022-11-13 19:49:30,a74aeea8ed,
z0ex60rqz8qbnmnbyz0exmrhqktb4fe3,1,Neither hard nor easy,I couldn't concentrate,,,,,,1,Neither hard nor easy,,,,I did not find it challenging,,,Seeing,5f493fea06249046a8db8569,2022-11-13 15:58:21,2022-11-13 16:09:51,6350271100,
zbrao1qvrhycklxu0gelhzbraomsmmqk,1,Neither hard nor easy,I couldn't concentrate,,,,,,,Neither hard nor easy,I couldn't concentrate,,,,,,Seeing,603ce90d158dc4ae761a15fa,2022-11-13 15:02:52,2022-11-13 15:11:08,2ddea1db86,
4dbaf0r0edgg0rjmkibh9uot4dbaf0r0,1,Kind of easy,,,,,,I enjoyed it,,Kind of easy,,,,,,Calming,Seeing,62ce97db1fa788670dea28c2,2022-11-13 14:58:39,2022-11-13 15:05:48,49082b0ece,
at00ht9govv41j8j9kllat00hfk8d57v,1,Neither hard nor easy,,,,,,No challenges. I really enjoyed the exercise,0,Kind of hard,I couldn't concentrate,,,,,,Seeing,63468948a737d638cacf18bb,2022-11-13 12:44:14,2022-11-13 12:56:18,3a37a93fb4,
uv7rg6fpp6sqjraz2uv7r41u6g2hu44x,1,Kind of easy,,,,,,"Enlightening, interesting, relaxing, would love to make it a habit and apply it to being anxious, especially in a social situation",1,Kind of easy,,,,,,I found it interesting and enlightening. I would love to make it a habit and apply it in a social situation when feeling anxious.,Hearing,5c4b987538878c0001c7883b,2022-11-13 07:32:55,2022-11-13 07:48:32,2c63144a60,
hk9hnycmiqy2d6vhk99e2kcixkzfvmck,0,Kind of hard,I couldn't concentrate,,,,,,1,Neither hard nor easy,I couldn't concentrate,,,,,,Seeing,61470066dce66ce341df39c1,2022-11-12 17:39:29,2022-11-12 17:51:27,0ecbf5a55c,
8rfflw80pqua9dg1c8rfflw01skj5rli,1,Kind of easy,,,,I did not find it challenging,,,1,Kind of hard,I couldn't concentrate,,,,I found it boring,,Seeing,5c37223ebef9a20001e38dad,2022-11-12 14:59:20,2022-11-12 15:13:13,ec9612723c,
rzfhd6stcl3lls0pa2cdrzfhd6s5mv74,1,Extremely easy,,,,I did not find it challenging,,,0,Neither hard nor easy,I couldn't concentrate,,,,,,Seeing,617097e90d0505595ce66612,2022-11-12 14:31:55,2022-11-12 14:44:35,1cb07a6f39,
t8met99n4qc5stgvyt8mettets3xlnva,1,Kind of hard,I couldn't concentrate,,,,,,1,Kind of hard,I couldn't concentrate,,,,,,Hearing,62ebd08bd6729790ced8587f,2022-11-12 08:50:58,2022-11-12 09:04:52,143e11c248,
q31p7yqv2efghiq3dpxrsnoalcsmoz5y,0,Extremely hard,I couldn't concentrate,,,,,,1,Kind of hard,I couldn't concentrate,,,,,,Hearing,58ebfc286d5fe6000166b9ff,2022-11-11 20:58:48,2022-11-11 21:01:29,d100df1f15,
xo1lsv1sddxheags5edxo1lsocyctwqw,1,Kind of hard,I couldn't concentrate,,,,,,1,Kind of hard,,,,,I found it boring,,Seeing,60ddcc052137212419247c3c,2022-11-11 14:49:46,2022-11-11 15:02:20,c16b0fc869,
0ckvsh8pqpbkje21bo0ckvsh87oh95hs,1,Kind of hard,I couldn't concentrate,,,,,,1,Extremely hard,,,,,I found it boring,,Seeing,611cf78346c5e728a66f1ebe,2022-11-10 16:04:18,2022-11-10 16:25:46,ac0b164fa0,
ofcjxu3e6818kf6vp6rnofcjxu3rrfta,1,Neither hard nor easy,,,,,I found it boring,,1,Neither hard nor easy,,,,,,Was surprised how quickly my mind wondered,Hearing,5b6cd747a1fda800015ff9ba,2022-11-10 13:06:26,2022-11-10 13:33:23,862898b666,
vrxnfkq8ehgvrxnffltkbojvcooaifvv,0,Kind of hard,I couldn't concentrate,,,,I found it boring,,1,Kind of hard,I couldn't concentrate,,,,I found it boring,,Hearing,5fc0ddfbcfc57d00094c4b3d,2022-11-08 19:32:18,2022-11-08 19:42:46,92240d131a,
bru017l2sbjukcbru017r1kv64d3lhd6,1,Neither hard nor easy,I couldn't concentrate,I found the exercise irritating,,,I found it boring,,1,Kind of hard,,I found the exercise irritating,,,I found it boring,,Seeing,5d9261e776e8dd00195f28f2,2022-11-08 17:18:37,2022-11-08 17:31:47,7679ea8c6a,
uj3fwbjr6toljjziuj394w9hxaxcra5d,1,Kind of hard,I couldn't concentrate,,,,,,1,Kind of easy,,,,,,None. It wasn’t extremely challenging but it wasn’t easy too.,Hearing,5f69a3c91c1e25193e3f9c7b,2022-11-08 10:58:04,2022-11-08 11:13:01,150a778110,
bvmteavz4sazikofq5bvmteavbe1ujpt,1,Neither hard nor easy,I couldn't concentrate,I found the exercise irritating,,,,,1,Neither hard nor easy,,I found the exercise irritating,,,,,Hearing,5bbbcd283895e3000163213f,2022-11-08 10:10:13,2022-11-08 10:13:03,94618e9cf5,
f2elul65t0ro36n5f2el3jc8droza2t6,1,Extremely hard,I couldn't concentrate,,,,,,1,Extremely hard,I couldn't concentrate,,,,,,Hearing,5baa81380d7ad600017a85de,2022-11-08 08:26:08,2022-11-08 08:27:08,d9569c1914,
mam4qhwolwf68xmam4qb51jw13109tts,1,Extremely hard,I couldn't concentrate,,,,,,1,Kind of hard,I couldn't concentrate,,,,,,Hearing,5baa81380d7ad600017a85de,2022-11-07 23:34:41,2022-11-07 23:36:24,d9569c1914,
u9vldqa3armfhhzibljgfwu9vldqe9ec,1,Neither hard nor easy,I couldn't concentrate,,,,,,1,Extremely hard,I couldn't concentrate,,,,I found it boring,,Seeing,611cecb5dbc0658aad64bf2d,2022-11-07 21:14:14,2022-11-07 21:33:29,bb7adf872c,
zy8opcqoqqwmebenzezy8op48vqwveri,1,Kind of easy,,,,I did not find it challenging,,,1,Kind of easy,,,,I did not find it challenging,,,Hearing,5caa61abcb4af3001640e877,2022-11-07 20:53:08,2022-11-07 21:05:10,d6dbdf9125,
q04w55ranohynnq04w5g3zmc4zmsrlal,1,Kind of easy,,,,,I found it boring,,1,Kind of easy,,,,I did not find it challenging,,,Hearing,5efb98c3d5919f121a986486,2022-11-07 20:12:55,2022-11-07 20:21:07,49318a6918,
28bw61z0yz4gc7uiujhv28bw6x73oae4,1,Neither hard nor easy,,I found the exercise irritating,,,,,1,Neither hard nor easy,,,,,,My mind would create scenarios according to the sound,Hearing,5ed68c770e41400dd0056c55,2022-11-07 16:46:51,2022-11-07 16:59:47,45c8da139d,
0ho5rkhzhc0s9ylwbh8a0ho5rw1htin8,1,Kind of easy,,,,,,Sometimes got a little distracted,1,Kind of hard,I couldn't concentrate,,,,,Kept getting distracted,Seeing,5dbb0562b1df1b110ead5bba,2022-11-07 16:45:10,2022-11-07 16:58:37,12d8553837,
egnqkh2ctah46xnmxt3egnqku9nxbz3d,0,Kind of hard,I couldn't concentrate,,,,,,0,Kind of easy,I couldn't concentrate,,,,,,Hearing,634d73a0b235813241e9532a,2022-11-07 16:51:31,2022-11-07 16:52:27,3001e4202f,
